,mtabNames
C20267,AmMP
C00097,l-cysteine
C00378,thiamine
C04294,HET
C01081,thiamine monophosphate
C00082,l-tyrosine
C01279,HMP
C00255,riboflavin
C00117,D-ribose 5-phosphate
C00314,pyridoxine
C00064,glutamine
C00122,fumaric acid
C00334,GABA
C00049,aspartic acid pos
C00111,dihydroxyacetone phosphate
C00042,succinic acid
C00141,3-methyl-2-oxobutanoic acid
C00864,pantothenic acid neg
C00183,valine
C00106,uracil pos
C01909,desthiobiotin pos
C00120,biotin neg
C00233,4-methyl-2-oxopentanoic acid
C00026,alpha-ketoglutaric acid
C00671,3-methyl-2-oxopentanoic acid
C00156,4-hydroxybenzoic acid
C00504,folic acid neg
C00568,4-aminobenzoic acid
C00025,glutamic acid
C05786,phycocyanobilin
C00188,threonine (isom. homoserine)
