,mtabNames
C00334,GABA
C00864,pantothenic acid neg
C00049,aspartic acid pos
C00106,uracil pos
C00315,spermidine
C05122,sodium taurocholate
C00026,alpha-ketoglutaric acid
C00025,glutamic acid
C00097,l-cysteine
C00245,taurine
C03557,ciliatine
C00117,D-ribose 5-phosphate
C00074,phosphoenolpyruvate
C00183,valine
C00082,l-tyrosine
C00079,phenylalanine
C00407,isoleucine
C00065,serine
C00134,Putrescine
C00062,arginine
C00073,methionine
C00148,proline
C00188,threonine (isom. homoserine)
C00624,n-acetyl glutamic acid
C00077,ornithine
C00064,glutamine
C00127,glutathione oxidized
C00051,l-glutathione
